_id,ID_ACTIVIDAD,NOMBRE,ID_EVENTO,EVENTO,DESCRIPCION,ACCESO_MIN,ID_LUGAR,OTROS_LUGARES,HORARIO,TELEFONO,F_INICIO,F_FIN,DESTINATARIOS,DESTINATARIOS_DESCRIPCION,DIRECCION_WEB,E_MAIL,CATEGORIA,ESPECIALIDAD,ORGANIZA
1,100195,Romeria de San Antón 2020 jmd2,42306,Romería a San Antón 2020 jmd2,"ROMERÍA DE SAN ANTÓN:

La Junta Municipal de distrito Málaga Este a iniciativa de la Asociación de Vecinos/as de El Palo, en colaboración con las Peñas y otras entidades del barrio, organizará el próximo domingo 19 de enero la fiesta tradicional ""Romería de San Antón"" en el Parque El Lagarillo Blanco en Pinares de San Antón.

El objetivo de la Romería es fomentar la convivencia y la conciencia de la importancia de cuidar el medio ambiente. Como todos los años un autobús de la EMT subirá a las personas mayores o con movilidad reducida, para ello el autobús saldrá de c/ Mar a las 11 h, y a las 16:30 h será la vuelta.
Como en años anteriores se realizará una gran paella popular entre las asociaciones y entidades del barrio en colaboración con Paelleros Sin Frontera, que se repartirá entre todos los asistentes, al igual que también se celebrarán diversas actividades durante toda la jornada, entre las que destacan: el X Torneo de Petanca Lagarillo Blanco, el IX Concurso del Juego de la Rana y el VII Encuentro de Maragatas.

DETALLE DE ENTIDADES QUE PARTICIPAN:

-Asociación de Vecinos El Palo

-Asociación de Empresarios Málaga Este

-Asociación Amigos del Carnaval Paleño

-Peña El Palustre

-Peña Madridista

-AMFREMAR

-Peña Los Bolaos

-Asociación Ruedas Redondas

-Asociación de Vecinos de Mangas Verdes


ORGANIZA:

Junta Municipal de Distrito Nº 2 Málaga Este a iniciativa de la Asociación de Vecinos El Palo.

",S,0,Parque del Lagarillo Blanco,De 12:00 a 17:00 horas,"",2020-01-19 00:00:00,2020-01-19 00:00:00,TE,TODAS LAS EDADES,"","",Fiestas populares,Comidas populares,Organiza: Junta Municipal de Distrito Málaga Este
2,99984,"<B>Las Aventuras de ""El Principito""<b>",41846,Eventos realizados en el Auditorio de La Caja Blanca en 2020,"&#8203;Nuestra obra especialmente diseñada para niños de infantil y primaria. Basada en el texto de Saint-Exupery,  los chicos y chicas se sumergen en  un viaje junto al Principito, al aviador, al mago, al zorro y la rosa, un viaje lleno de diversion, totalmente interactivo, y lleno de música, baile y valores, en busca de la verdadera felicidad.<BR><BR>
&#8203;
El libreto original está en español-inglés-francés aunque se puede variar y hacerlo todo en español para familias o todo en inglés para centros totalmente bilingües si así lo desean. ",S,2770,"",18:30 horas,"",2020-01-17 00:00:00,2020-01-17 00:00:00,TE,TODAS LAS EDADES,www.cantaingles.wixsite.com/misitio,cantaingles@hotmail.com,Perfiles,Joven,CANTAINGLÉS PRODUCTIONS
3,100541,<b>IX Corre por una causa</b>,42087,Recopilación de los eventos correspondientes al 2020.,Ponte las deportivas y comienza a entrenar porque vuelve el circuito de carreras solidario <b>#CorreXunaCausa</b>. Carrera Solidaria por la educación de las niñas en África y América Latina.,S,0,Estadio de Atletismo Ciudad de Málaga,"5m y 10km - 9:30h<p>
1.200km - 11:30h<p>
800km - 11:50h<p>
400km - 12:10h<p>
80km - 12:30h<p>","",2020-02-02 00:00:00,2020-02-02 00:00:00,TE,TODAS LAS EDADES,correporunacausa.org,"",Deportes,Eventos deportivos,""
4,100736,"SESIÓN DOBLE DE TEATRO:<B> ""LA CASA DE BERNARDA ALBA""</b> y<b>""DOCE HOMBRES SIN PIEDAD""</B> -  COMEDIANTES MALAGUEÑOS",41846,Eventos realizados en el Auditorio de La Caja Blanca en 2020,"<b>Asociación Teatral ""COMEDIANTES MALAGUEÑOS""</b><br><br>

<b>LA CASA DE BERNARDA ALBA</b><br>Los días 27, 28 y 29 de Febrero a las 18:00 h. en La Caja Blanca. #SESIONDOBLE. Adaptación y dirección de Cristina Navarro sobre el original de Federico García Lorca.<br><br>

<b>Sinopsis</b><br><BR>
Bernarda Alba, tras enviudar por segunda vez, impone un luto riguroso, durante ocho años, a ella y a sus cinco hijas (Angustias, Magdalena, Amelia, Martirio y Adela), y se encierran en la casa.<br><br>
Una drama rural de Federico García Lorca en la que la represión más absoluta de la matriarca ahoga y aplasta la vida y las ansias de libertad, además de fomentar los celos, la envidia y la maldad entre sus hijas, desencadenando la tragedia.<br><br>

<b>DOCE HOMBRES SIN PIEDAD</b><br>Los días 27, 28 y 29 de febrero a las 21h en La Caja Blanca #SESIONDOBLE
Adaptación y dirección de Cristina Navarro sobre el original de Reginald Rose<br><br>

<b>Sinopsis</b><br><BR>
Doce miembros de un jurado deben juzgar a un adolescente acusado de haber matado a su padre. Un caso aparentemente claro de culpabilidad se convierte en una lucha de argumentos, prejuicios y valores, cuando aparece la duda razonable.<br>
Un ""tour de force"" entre doce personajes que deben decidir el destino de un joven, mientras intentan comprenderse a sí mismos.<br><br>

APTO PARA TODOS LOS PÚBLICOS<br><br>

www.facebook.com/ComediantesMalaguenosTeatro<BR><BR>

<b>TRES MODALIDADES:</b> <br><br>

1. VENTA INDIVIDUAL<br><br>

- Una entrada a  15 euros cada una en: www.entradium.com, en los siguientes enlaces:<br>
- ""La Casa de Bernarda Alba"": https://bit.ly/30lTYyn<br>
- ""Doce hombres sin piedad"": https://bit.ly/35V4hLc<br>
- En la librería Áncora (Plaza Uncibay, 9 Málaga).<br>
- En taquilla desde una hora antes de que comience la función.<br><br>

2. SESIÓN DOBLE<br><br>

- Dos funciones el mismo día a un precio de 20 euros, reservando por WhatsApp al teléfono 636 44 91 85.<br>
- Ó en taquilla desde una hora antes de que comience la función.<br><br>

3. PROMO JOVEN<br><br>
Si tienes 30 años o menos, puedes beneficiarte de esta promoción que consiste en elegir una función a 8 euros, o bien la sesión doble el mismo día, a 10 euros.<br>

Para esta promoción hay que reservar por WhatsApp 636 44 91 85 o en taquilla.<br>
ES OBLIGATORIO acreditar la edad mediante DNI o cualquier otro documento oficial con foto actual, al canjeo de la entrada en taquilla.


",S,2770,"","* 18:00 horas <b>La Casa de Bernarda Alba""</b><br><br>",,,,,,,,,,
5,99984,"<B>Las Aventuras de ""El Principito""<b>",41846,Eventos realizados en el Auditorio de La Caja Blanca en 2020,"&#8203;Nuestra obra especialmente diseñada para niños de infantil y primaria. Basada en el texto de Saint-Exupery,  los chicos y chicas se sumergen en  un viaje junto al Principito, al aviador, al mago, al zorro y la rosa, un viaje lleno de diversion, totalmente interactivo, y lleno de música, baile y valores, en busca de la verdadera felicidad.<BR><BR>
&#8203;
El libreto original está en español-inglés-francés aunque se puede variar y hacerlo todo en español para familias o todo en inglés para centros totalmente bilingües si así lo desean. ",S,2770,"",18:30 horas,"",2020-01-17 00:00:00,2020-01-17 00:00:00,TE,TODAS LAS EDADES,www.cantaingles.wixsite.com/misitio,cantaingles@hotmail.com,Colectivo,Juvenil,CANTAINGLÉS PRODUCTIONS
6,100736,"SESIÓN DOBLE DE TEATRO:<B> ""LA CASA DE BERNARDA ALBA""</b> y<b>""DOCE HOMBRES SIN PIEDAD""</B> -  COMEDIANTES MALAGUEÑOS",41846,Eventos realizados en el Auditorio de La Caja Blanca en 2020,"<b>COMEDIANTES MALAGUEÑOS</b><br><br>

<b>LA CASA DE BERNARDA ALBA</b><br>Los días 27, 28 y 29 de Febrero a las 18:00 h. en La Caja Blanca. #SESIONDOBLE. Adaptación y dirección de Cristina Navarro sobre el original de Federico García Lorca.<br><br>

<b>Sinopsis</b><br><BR>
Bernarda Alba, tras enviudar por segunda vez, impone un luto riguroso, durante ocho años, a ella y a sus cinco hijas (Angustias, Magdalena, Amelia, Martirio y Adela), y se encierran en la casa.<br><br>
Una drama rural de Federico García Lorca en la que la represión más absoluta de la matriarca ahoga y aplasta la vida y las ansias de libertad, además de fomentar los celos, la envidia y la maldad entre sus hijas, desencadenando la tragedia.<br><br>

<b>DOCE HOMBRES SIN PIEDAD</b><br>Los días 27, 28 y 29 de febrero a las 21h en La Caja Blanca #SESIONDOBLE
Adaptación y dirección de Cristina Navarro sobre el original de Reginald Rose<br><br>

<b>Sinopsis</b><br><BR>
Doce miembros de un jurado deben juzgar a un adolescente acusado de haber matado a su padre. Un caso aparentemente claro de culpabilidad se convierte en una lucha de argumentos, prejuicios y valores, cuando aparece la duda razonable.<br>
Un ""tour de force"" entre doce personajes que deben decidir el destino de un joven, mientras intentan comprenderse a sí mismos.<br><br>

APTO PARA TODOS LOS PÚBLICOS<br><br>

www.facebook.com/ComediantesMalaguenosTeatro<BR><BR>

<b>TRES MODALIDADES:</b> <br><br>

1. VENTA INDIVIDUAL<br><br>

- Una entrada a  15 euros cada una en: www.entradium.com, en los siguientes enlaces:<br>
- ""La Casa de Bernarda Alba"": https://bit.ly/30lTYyn<br>
- ""Doce hombres sin piedad"": https://bit.ly/35V4hLc<br>
- En la librería Áncora (Plaza Uncibay, 9 Málaga).<br>
- En taquilla desde una hora antes de que comience la función.<br><br>

2. SESIÓN DOBLE<br><br>

- Dos funciones el mismo día a un precio de 20 euros, reservando por WhatsApp al teléfono 636 44 91 85.<br>
- Ó en taquilla desde una hora antes de que comience la función.<br><br>

3. PROMO JOVEN<br><br>
Si tienes 30 años o menos, puedes beneficiarte de esta promoción que consiste en elegir una función a 8 euros, o bien la sesión doble el mismo día, a 10 euros.<br>

Para esta promoción hay que reservar por WhatsApp 636 44 91 85 o en taquilla.<br>
ES OBLIGATORIO acreditar la edad mediante DNI o cualquier otro documento oficial con foto actual, al canjeo de la entrada en taquilla.


",S,2770,"","* 18:00 horas <b>La Casa de Bernarda Alba""</b><br><br>",,,,,,,,,,
7,100380,<B>FESTIVAL DE TEATRO DE MÁLAGA - OFF. PROGRAMA ESTRENOS AYUDAS A LA PRODUCCIÓN 2019. CICLO ESCENA JOVEN 2020 </B> ,41846,Eventos realizados en el Auditorio de La Caja Blanca en 2020,"<b>COMPAÑÍA COLECTIVO DE JÓVENES: ""DANZA-TEATRO TEATINOS""</b><BR><BR>
<B>OBRA: ABSURDO CABARET </B> - MUSICAL-CABARET<BR><BR>
<b>""ABSURDO CABARET""</b><BR><BR>

Es una obra de Teatro Musical con formato de Performance.<BR>
Basada en un guion original, narra la desaparición de una bailarina en Madrid y su búsqueda en un mundo fantástico llamado ""EL LABERINTO""<BR><BR>

https://www.facebook.com/javiermunoz.bailemusicales",S,2770,"",20:30 horas,"951 92 60 98
",2020-02-07 00:00:00,2020-02-07 00:00:00,AD,ADULTOS,www.teatrocervantes.com/es/genero/teatro/37-festival-de-teatro/off-auditorio-de-la-caja-blanca-617,atencioncolectivos@teatrocervantes.es,Colectivo,Mayores,FESTIVAL TEATRO DE MÁLAGA
8,99867,"<b>LA CASA DE LA HONESTA</b> - Grupo Independiente de Teatro ""NEUQUEN TEATRO""",41846,Eventos realizados en el Auditorio de La Caja Blanca en 2020,"La Compañía <b>NEUQUEN TEATRO</b> estrena, en esta ocasión, una nueva pieza teatral: La Casa de la Honesta. Esta obra inédita es un drama situado temporalmente en los años finales del siglo XV, en la Granada nazarí, aunque la narración pretende una reflexión atemporal en torno a temas recurrentes y universales: el poder, la ambición, la deslealtad, la traición, la codicia, el amor, el destino... <br><BR>

La casa de la honesta es un montaje precedido por una intensa trilogía familiar,  cuyas puestas en escena (El Vuelo,  El Suelo y El Duelo, dedicados, respectivamente, a la figura del ""Padre"", la ""Madre"" y ""La familia""),  se representaron en la Facultad de Letras de la U.M.A., en el Teatro municipal de Arroyo de la Miel  y en la Caja Blanca de Málaga, en 2013, 2017 y 2018 con gran afluencia de público. NEUQUEN TEATRO participó en el OFF 35 Festival de Teatro de Málaga, de 2017 y 2018.<br><BR>

La casa de la honesta es una dramatización subjetiva de los acontecimientos históricos que se produjeron en la confrontación del reino de Granada con  los reinos de Castilla y Aragón, entre los años 1480 y 1492, aunque desvinculada del anecdotario común de este episodio, por lo que se refiere a valoraciones, episodios o hechos históricos veraces. La casa de la Honesta, se sitúa en aquellos tiempos pero recurre a los espacios de la intimidad y lo imaginado para afrontar una visión diferente a lo narrado hasta ahora.<br><BR>

La obra abandona la perspectiva patriarcal que suele dotar a los hombres un papel decisivo en este tipo de textos de alusión histórica, para dar realce y protagonismo a las mujeres que vivieron aquellos acontecimientos y el autor les da voz, por primera vez, situándolas en el primer término de la narración y concediéndoles un rol primigenio en los entresijos y meollos de la ambición y la lucha por el poder. Ahora las mujeres: la madre de Boabdil (Aixa Fátima), la amante del rey musulmán (Isabel de Solís), la esposa de Boabdil (Almoraima), la reina Isabel de Castilla, etc¿ tendrán papeles relevantes en este drama intemporal de sospechas, intrigas, miedos, celos, rencores. Los hombres, tradicionales personajes principales del teatro clásico, serán ahora satélites luminosos u oscurecidos por los hilos y los caprichos del destino...y por los manejos y las tramas de las mujeres. <br><BR>

Volvemos a encontrarnos con una novedosa puesta en escena de una pieza teatral inédita y original, escrita y dirigida por Pedro Castañeda Navarro.<br><BR>

La casa de la honesta, plantea cuatro actos con diferentes escenas cada uno de ellos, con una duración aproximada de dos horas. Los cuatro actos, planteados en estructura como un esquema habitual, jugaran empero con el recorrido lineal del tiempo e hilvanarán situaciones y acontecimientos de una manera muy libre; como en los sueños, donde todo ocurre según el arbitrio del soñante o de los personajes.<br><BR>

La obra irá marcando distintas pulsiones en los diferentes intérpretes, dentro de la esfera de los impulsos vitales, como el amor,  el odio, la ira,  la envidia, los celos..., según los rasgos característicos de cada personalidad y sobre todo el afán por el poder y la codicia.<br><BR>

Estará representada por 10 intérpretes y cuenta con cuatro miembros del equipo técnico, escenografía, diseño y montaje (70% estudiantes o jóvenes licenciados de las Facultades de la UMA de Filosofía y Letras, Ciencias de la Comunicación y Bellas Artes. La duración es de dos horas, aproximadamente y el montaje escénico es simple y minimalista. NEUQUEN TEATRO  está co-dirigido por Pedro Castañeda Navarro y Rosa Hernández Pallarés y el autor y director de la obra es Pedro Castañeda Navarro.<br><BR>
<b>NO RECOMENDADA PARA MENORES DE 14 AÑOS.</b>",S,2770,"",20:30 horas,"",2020-01-10 00:00:00,2020-01-10 00:00:00,TE,TODAS LAS EDADES,es-es.facebook.com/Neuquen-Teatro-235070126596968/,neuquen.teatro@gmail.com,Colectivo,Mayores,"Grupo Independiente de Teatro ""NEUQUEN TEATRO""

"
9,99867,"<b>LA CASA DE LA HONESTA</b> - Grupo Independiente de Teatro ""NEUQUEN TEATRO""",41846,Eventos realizados en el Auditorio de La Caja Blanca en 2020,"La Compañía <b>NEUQUEN TEATRO</b> estrena, en esta ocasión, una nueva pieza teatral: La Casa de la Honesta. Esta obra inédita es un drama situado temporalmente en los años finales del siglo XV, en la Granada nazarí, aunque la narración pretende una reflexión atemporal en torno a temas recurrentes y universales: el poder, la ambición, la deslealtad, la traición, la codicia, el amor, el destino... <br><BR>

La casa de la honesta es un montaje precedido por una intensa trilogía familiar,  cuyas puestas en escena (El Vuelo,  El Suelo y El Duelo, dedicados, respectivamente, a la figura del ""Padre"", la ""Madre"" y ""La familia""),  se representaron en la Facultad de Letras de la U.M.A., en el Teatro municipal de Arroyo de la Miel  y en la Caja Blanca de Málaga, en 2013, 2017 y 2018 con gran afluencia de público. NEUQUEN TEATRO participó en el OFF 35 Festival de Teatro de Málaga, de 2017 y 2018.<br><BR>

La casa de la honesta es una dramatización subjetiva de los acontecimientos históricos que se produjeron en la confrontación del reino de Granada con  los reinos de Castilla y Aragón, entre los años 1480 y 1492, aunque desvinculada del anecdotario común de este episodio, por lo que se refiere a valoraciones, episodios o hechos históricos veraces. La casa de la Honesta, se sitúa en aquellos tiempos pero recurre a los espacios de la intimidad y lo imaginado para afrontar una visión diferente a lo narrado hasta ahora.<br><BR>

La obra abandona la perspectiva patriarcal que suele dotar a los hombres un papel decisivo en este tipo de textos de alusión histórica, para dar realce y protagonismo a las mujeres que vivieron aquellos acontecimientos y el autor les da voz, por primera vez, situándolas en el primer término de la narración y concediéndoles un rol primigenio en los entresijos y meollos de la ambición y la lucha por el poder. Ahora las mujeres: la madre de Boabdil (Aixa Fátima), la amante del rey musulmán (Isabel de Solís), la esposa de Boabdil (Almoraima), la reina Isabel de Castilla, etc¿ tendrán papeles relevantes en este drama intemporal de sospechas, intrigas, miedos, celos, rencores. Los hombres, tradicionales personajes principales del teatro clásico, serán ahora satélites luminosos u oscurecidos por los hilos y los caprichos del destino...y por los manejos y las tramas de las mujeres. <br><BR>

Volvemos a encontrarnos con una novedosa puesta en escena de una pieza teatral inédita y original, escrita y dirigida por Pedro Castañeda Navarro.<br><BR>

La casa de la honesta, plantea cuatro actos con diferentes escenas cada uno de ellos, con una duración aproximada de dos horas. Los cuatro actos, planteados en estructura como un esquema habitual, jugaran empero con el recorrido lineal del tiempo e hilvanarán situaciones y acontecimientos de una manera muy libre; como en los sueños, donde todo ocurre según el arbitrio del soñante o de los personajes.<br><BR>

La obra irá marcando distintas pulsiones en los diferentes intérpretes, dentro de la esfera de los impulsos vitales, como el amor,  el odio, la ira,  la envidia, los celos..., según los rasgos característicos de cada personalidad y sobre todo el afán por el poder y la codicia.<br><BR>

Estará representada por 10 intérpretes y cuenta con cuatro miembros del equipo técnico, escenografía, diseño y montaje (70% estudiantes o jóvenes licenciados de las Facultades de la UMA de Filosofía y Letras, Ciencias de la Comunicación y Bellas Artes. La duración es de dos horas, aproximadamente y el montaje escénico es simple y minimalista. NEUQUEN TEATRO  está co-dirigido por Pedro Castañeda Navarro y Rosa Hernández Pallarés y el autor y director de la obra es Pedro Castañeda Navarro.<br><BR>
<b>NO RECOMENDADA PARA MENORES DE 14 AÑOS.</b>",S,2770,"",20:30 horas,"",2020-01-10 00:00:00,2020-01-10 00:00:00,TE,TODAS LAS EDADES,es-es.facebook.com/Neuquen-Teatro-235070126596968/,neuquen.teatro@gmail.com,Espectaculos,Teatro,"Grupo Independiente de Teatro ""NEUQUEN TEATRO""

"
10,100380,<B>FESTIVAL DE TEATRO DE MÁLAGA - OFF. PROGRAMA ESTRENOS AYUDAS A LA PRODUCCIÓN 2019. CICLO ESCENA JOVEN 2020 </B> ,41846,Eventos realizados en el Auditorio de La Caja Blanca en 2020,"<b>COMPAÑÍA COLECTIVO DE JÓVENES: ""DANZA-TEATRO TEATINOS""</b><BR><BR>
<B>OBRA: ABSURDO CABARET </B> - MUSICAL-CABARET<BR><BR>
<b>""ABSURDO CABARET""</b><BR><BR>

Es una obra de Teatro Musical con formato de Performance.<BR>
Basada en un guion original, narra la desaparición de una bailarina en Madrid y su búsqueda en un mundo fantástico llamado ""EL LABERINTO""<BR><BR>

https://www.facebook.com/javiermunoz.bailemusicales",S,2770,"",20:30 horas,"951 92 60 98
",2020-02-07 00:00:00,2020-02-07 00:00:00,AD,ADULTOS,www.teatrocervantes.com/es/genero/teatro/37-festival-de-teatro/off-auditorio-de-la-caja-blanca-617,atencioncolectivos@teatrocervantes.es,Colectivo,Igualdad,FESTIVAL TEATRO DE MÁLAGA
